feature,importance
monetary,0.3336533410888094
clv_estimate,0.23628925771160353
avg_order_value,0.2085113070527809
spend_per_order,0.16725586940423853
engagement_score,0.014315562143708887
avg_delivery_delay,0.013638259117899818
total_items_bought,0.008611109707687113
channel_encoded,0.0031602288237850542
repeat_customer_flag,0.0026613759060323925
avg_review_score,0.0024148543934964925
frequency,0.0023025272046734466
customer_tenure_days,0.0018660097859197456
acquisition_cost,0.001732517304041608
age_encoded,0.0013096388300012378
late_delivery_rate,0.0009925861636087211
income_encoded,0.0008702515351188766
has_support_ticket,0.00041530382659421436
